doc,shootingID,outlet,,
3920,58,breitbart,11/23/18,"1 Dead, 2 Injured in Alabama Mall Shooting"
11328,58,foxnews,11/23/18,"Alabama mall shooting leaves 1 dead, 2 wounded"
11360,58,foxnews,11/23/18,"Gunman opens fire inside crowded Alabama mall, injures 2 before killed by police"
11379,58,foxnews,11/23/18,"Multiple injured in shooting at Alabama mall on Black Friday, suspect dead"
17210,58,nytimes,11/23/18,Police Kill Gunman Who Shot Man at Alabama Mall on Thanksgiving
3989,58,breitbart,11/24/18,Alabama Police: Mall Shooting Suspect Still at Large
11466,58,foxnews,11/24/18,"Man killed in Alabama mall shooting was ‘likely’ not gunman, police say"
11507,58,foxnews,11/25/18,Black man's death: Questions remain in Alabama mall shooting
18731,58,thinkprogress,11/26/18,NRA quiet after police shoot ‘good guy with a gun’ in Alabama
11771,58,foxnews,11/27/18,"Alabama girl, 12, released from hospital after Thanksgiving night shooting"
4525,58,breitbart,11/29/18,U.S. Marshals Announce Arrest of Alabama Mall Shooting Suspect
12227,58,foxnews,11/29/18,"Suspected gunman in Thanksgiving Alabama mall shooting arrested, officials say"
3137,38,breitbart,11/12/18,"Police Allegedly Shoot, Kill Security Guard Who Stopped Bar Shooting"
9627,38,foxnews,11/12/18,Cop accidentally kills security guard at bar in Chicago suburbs: report
9821,38,foxnews,11/12/18,Lawsuit alleges security guard shot while holding suspect
16317,38,nytimes,11/12/18,"Police Officer Responding to Shooting Near Chicago Kills Security Guard, Authorities Say"
9772,38,foxnews,11/13/18,Death of black security guard brings call for investigation
9784,38,foxnews,11/13/18,"Family of black security guard fatally shot by Illinois police sues officer, department"
10058,38,foxnews,11/14/18,"Officer who shot Chicago security guard gave ‘verbal commands’ to drop gun, witnesses say"
16459,38,nytimes,11/14/18,Police Report in Killing of Black Security Guard Is Criticized as Rushed
