doc,shootingID,outlet,,
7281,25,foxnews,10/28/18,"Pittsburgh shooting was 'a pure act of evil,' DHS Secretary Nielsen says"
7283,25,foxnews,10/28/18,"Pittsburgh synagogue massacre suspect told officers 'I just want to kill Jews,' affidavit says"
7284,25,foxnews,10/28/18,"Pittsburgh synagogue shooting: I prayed at the Tree of Life Synagogue, now turned into a scene of death"
7285,25,foxnews,10/28/18,Pittsburgh synagogue shooting is rooted in hatred of those who are different
7286,25,foxnews,10/28/18,Pittsburgh synagogue shooting shows anti-Semitism in America must not be ignored
7288,25,foxnews,10/28/18,"Pittsburgh synagogue shooting victims identified as brothers, husband and wife killed in 'unspeakable and hateful crime'"
7290,25,foxnews,10/28/18,Police: Synagogue gunman said he wanted all Jews to die
7291,25,foxnews,10/28/18,Police: Synagogue gunman said 'I just want to kill Jews'
7308,25,foxnews,10/28/18,The Latest: Brothers slain at synagogue called 'caring men'
7311,25,foxnews,10/28/18,"The Latest: Married couple, brothers among synagogue victims"
7315,25,foxnews,10/28/18,The Latest: Synagogue victim 'trusted confidant and healer'
7321,25,foxnews,10/28/18,Trump calls Pittsburgh synagogue attack 'evil' anti-Semitism
7325,25,foxnews,10/28/18,"Trump's rhetoric not cause of Pittsburgh shooting, but needs message needs to be 'more clear,' Lankford says"
7332,25,foxnews,10/28/18,Who is Robert Bowers? Pittsburgh synagogue suspect posted views online
7337,25,foxnews,10/28/18,Pittsburgh man explains how synagogue massacre spurred him to create uplifting design based on Steelers logo
7381,25,foxnews,10/28/18,"Hours after synagogue shooting, Pittsburgh begins healing process through sports"
7385,25,foxnews,10/28/18,I'm barely breathing': Synagogue survivor recounts terror
7386,25,foxnews,10/28/18,I'm barely breathing': Synagogue survivor recounts terror
7425,25,foxnews,10/28/18,Pittsburgh synagogue massacre suspect Bowers described as bland by unsuspecting neighbors
7426,25,foxnews,10/28/18,"Pittsburgh synagogue massacre suspect told officers 'I just want to kill Jews,' affidavit says"
7436,25,foxnews,10/28/18,"Pittsburgh residents mourning after mass shooting, sound off on gun control"
7456,25,foxnews,10/28/18,Synagogue attack shatters safety of longtime Jewish enclave
7526,25,foxnews,10/28/18,Correction: Shooting-Synagogue-The Latest story
14651,25,nytimes,10/28/18,"On Gab, an Extremist-Friendly Site, Pittsburgh Shooting Suspect Aired His Hatred in Full"
14674,25,nytimes,10/28/18,"Pittsburgh, Migrant Caravan, Yemen: Your Weekend Briefing"
14675,25,nytimes,10/28/18,Pittsburgh Synagogue Massacre Suspect Was the Bland Man from Apartment 1
14678,25,nytimes,10/28/18,Tree of Life Synagogue Victims Remembered as Guardians of Their Faith
14680,25,nytimes,10/28/18,Victims of Synagogue Shooting Identified in What Mayor Calls the âDarkest Day of Pittsburghâs Historyâ
14689,25,nytimes,10/28/18,"Tragedy in Pittsburgh, House and Senate Latest, Beto Backer: 9 Days to Go"
14756,25,nytimes,10/28/18,"On Gab, an Extremist-Friendly Site, Pittsburgh Shooting Suspect Aired His Hatred in Full"
14829,25,nytimes,10/28/18,Pittsburgh Synagogue Massacre Suspect Was âPretty Much a Ghostâ
14832,25,nytimes,10/28/18,Tree of Life Synagogue Victims Remembered as Guardians of Their Faith
14834,25,nytimes,10/28/18,Quiet Day at a Pittsburgh Synagogue Became a Battle to Survive
18317,25,thinkprogress,10/28/18,"11 victims of Pittsburgh shooting identified, gunman to face 29 separate federal charges"
1726,25,breitbart,10/29/18,"Bill Kristol: Trump, Fox News Rhetoric Against the Caravan ‘Provoked’ Synagogue Shooter | Breitbart"
1784,25,breitbart,10/29/18,"Pictures: Jerusalem’s Old City Walls Read: ‘We Are With You, Pittsburgh’"
1785,25,breitbart,10/29/18,"Vigils Held in Jerusalem, Tel Aviv to Mourn Pittsburgh Synagogue Massacre"
1796,25,breitbart,10/29/18,Pollak: Media Hype Phony 'Jewish Leaders' to Disinvite Trump from Pittsburgh | Breitbart
1807,25,breitbart,10/29/18,"Tree of Life Rabbi to CNN: Trump 'Always Welcome' at Our Synagogue, 'He Is My President' | Breitbart"
1840,25,breitbart,10/29/18,"Donald, Melania Trump Traveling to Pittsburgh After Synagogue Shooting"
7375,25,foxnews,10/29/18,"FIRST: Neighbors saw no warning signs in synagogue shooting suspect; Trump, Steyer in war of words"
7388,25,foxnews,10/29/18,"Israeli PM, chief rabbi at odds over Pittsburgh synagogue"
7406,25,foxnews,10/29/18,"Loved ones, friends remember synagogue shooting victims"
7424,25,foxnews,10/29/18,"Pittsburgh Steelers help heal, pay tribute after synagogue shooting"
7437,25,foxnews,10/29/18,"Robert Bowers, suspect in Pittsburgh synagogue shooting, has first federal court appearance"
7438,25,foxnews,10/29/18,"Robert Bowers, suspect in Pittsburgh synagogue shooting, to appear in federal court"
7451,25,foxnews,10/29/18,Student helps raise $540K for synagogue shooting victims
7457,25,foxnews,10/29/18,Synagogue suspect at courthouse; survivors recall ordeal
7458,25,foxnews,10/29/18,Synagogue suspect leaves hospital; survivors recall ordeal
7466,25,foxnews,10/29/18,The Latest: Jewish staffers treated accused synagogue gunman
7468,25,foxnews,10/29/18,The Latest: President Donald Trump will visit Pittsburgh
7469,25,foxnews,10/29/18,The Latest: Synagogue shooting suspect leaves hospital
7471,25,foxnews,10/29/18,The Latest: Synagogue shooting suspect arrives at courthouse
7473,25,foxnews,10/29/18,"Trump, first lady to visit Pittsburgh Tuesday following synagogue shooting"
7527,25,foxnews,10/29/18,Correction: Shooting-Synagogue-Victims story
7628,25,foxnews,10/29/18,"Synagogue shooting victims: 'Gentle, caring, compassionate'"
14811,25,nytimes,10/29/18,Muslim Groups Raise Thousands for Pittsburgh Synagogue Shooting Victims
14826,25,nytimes,10/29/18,"Pittsburgh, Lion Air, Boston Red Sox: Your Monday Briefing"
14827,25,nytimes,10/29/18,"Pittsburgh Shooting, Brazil, Germany: Your Monday Briefing"
14828,25,nytimes,10/29/18,On Politics: The âDarkest Day of Pittsburghâs Historyâ
14909,25,nytimes,10/29/18,Family Doctor Killed in Pittsburgh Shooting âHeld a Lamp Up That Lit the Wayâ
14947,25,nytimes,10/29/18,Pittsburgh Killing Aftermath Bares Jewish Rifts in Israel and America
14950,25,nytimes,10/29/18,Pittsburgh Synagogueâs Rabbi Speaks of Horror and Healing
14951,25,nytimes,10/29/18,"Reeling From Tragedy, Many in Pittsburgh Say Trump Should Not Visit"
18326,25,thinkprogress,10/29/18,Trump resumes tweeting about caravan conspiracy theories that apparently inspired Pittsburgh shooter
18354,25,thinkprogress,10/29/18,Pence event features former Jews for Jesus ‘rabbi’ praying for Pittsburgh victims and GOP candidates
1886,25,breitbart,10/30/18,Pittsburgh Mayor Bill Peduto Refuses to Meet President Trump During Visit
1895,25,breitbart,10/30/18,Stelter: I Hope Fox News Personalities 'Take a Minute' to 'Think About Their Role' in Synagogue Shooting | Breitbart
1995,25,breitbart,10/30/18,Pittsburgh Rabbi Receives Hate Mail for Welcoming President Trump
7524,25,foxnews,10/30/18,"Colbert speaks out against 'sickening' hate after Pittsburgh shooting, slams Trump's response"
7543,25,foxnews,10/30/18,"FIRST: Trump rejects left's blame game in synagogue massacre, bomb mailings; Mueller probe at key phase"
7561,25,foxnews,10/30/18,I'm going to die:' Survivors relive horrors at Tree of Life
7610,25,foxnews,10/30/18,"Pittsburgh leaders, residents split over President Trump’s trip to synagogue shooting site"
