"X","document","topic","gamma","outlet","date","location","zip","medianIncome","majorityRace","countyVote","dead","injured","total","childrenHarmed","ideology"
40,"text4955","2",0.727330263472455,"foxnews",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
41,"text5114","2",0.418723228460843,"foxnews",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
42,"text12654","2",0.637903431152691,"nytimes",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
43,"text12692","2",0.722176565796327,"nytimes",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
44,"text4686","3",0.623375354549861,"foxnews",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
45,"text12564","3",0.626155034399953,"nytimes",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
46,"text12691","3",0.328312325257546,"nytimes",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
47,"text12735","3",0.412525110901136,"nytimes",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
48,"text12748","3",0.40721574997303,"nytimes",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
49,"text18859","3",0.428688874403892,"wallstreetjournal",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",NA
50,"text66","4",0.272441721916255,"breitbart",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
51,"text103","4",0.633253477849038,"breitbart",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
52,"text12572","4",0.384913754286219,"nytimes",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",2.8
53,"text144","6",0.273459705501633,"breitbart",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
54,"text187","6",0.357771671055149,"breitbart",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.9
55,"text4715","6",0.534621876013144,"foxnews",2018-10-02,"Chicago, Illinois","60632",3.49650756146648,"1","0",2,2,4,"0",4.7
