"","document","topic","gamma","outlet","date"
"103","text28882",2,0.867611490974297,"infowars","2018-10-02"
"104","text28887",2,0.621550936561432,"infowars","2018-10-02"
"105","text28927",2,0.611155462297636,"infowars","2018-10-02"
"106","text50255",2,0.526875490977373,"washingtonpost","2018-10-02"
"107","text50329",2,0.554004585014886,"washingtonpost","2018-10-02"
"108","text127",3,0.292909563053351,"abcnews","2018-10-02"
"109","text156",3,0.910429742785212,"abcnews","2018-10-02"
"110","text244",3,0.713536350023787,"abcnews","2018-10-02"
"111","text5551",3,0.331576147152261,"breitbart","2018-10-02"
"112","text5602",3,0.452715250745334,"breitbart","2018-10-02"
"113","text16969",3,0.661075924694085,"foxnews","2018-10-02"
"114","text17051",3,0.468039708795483,"foxnews","2018-10-02"
"115","text17068",3,0.827635079111564,"foxnews","2018-10-02"
"116","text17082",3,0.751210348068965,"foxnews","2018-10-02"
"117","text17119",3,0.489701751286928,"foxnews","2018-10-02"
"118","text17186",3,0.93558655376492,"foxnews","2018-10-02"
"119","text17231",3,0.881853387310482,"foxnews","2018-10-02"
"120","text17232",3,0.767057219691618,"foxnews","2018-10-02"
"121","text17391",3,0.439916426280072,"foxnews","2018-10-02"
"122","text24871",3,0.461579700125341,"huffingtonpost","2018-10-02"
"123","text25003",3,0.609253278271149,"huffingtonpost","2018-10-02"
"124","text31495",3,0.464257124520489,"motherjones","2018-10-02"
"125","text32532",3,0.496799874188731,"newsweek","2018-10-02"
"126","text32583",3,0.495313091558039,"newsweek","2018-10-02"
"127","text38497",3,0.662211540646702,"nytimes","2018-10-02"
"128","text38535",3,0.753204293479939,"nytimes","2018-10-02"
"129","text10315",4,0.822312415517088,"cnbc","2018-10-02"
"130","text16992",4,0.399630515255619,"foxnews","2018-10-02"
"131","text17085",4,0.548829428724506,"foxnews","2018-10-02"
"132","text32495",4,0.651285800929018,"newsweek","2018-10-02"
"133","text38466",4,0.64179634656687,"nytimes","2018-10-02"
"134","text38509",4,0.766758856621427,"nytimes","2018-10-02"
"135","text43838",4,0.689947025591849,"politico","2018-10-02"
"136","text45361",4,0.772027201181915,"thehill","2018-10-02"
"137","text45367",4,0.741875154327585,"thehill","2018-10-02"
"138","text45373",4,0.684410996774906,"thehill","2018-10-02"
"139","text45420",4,0.687523611299836,"thehill","2018-10-02"
"140","text48933",4,0.473589265354269,"townhall","2018-10-02"
"141","text50257",4,0.407936459839996,"washingtonpost","2018-10-02"
"142","text50258",4,0.345013897693279,"washingtonpost","2018-10-02"
"143","text261",1,0.920036289847401,"abcnews","2018-10-03"
"144","text350",1,0.595481143484752,"abcnews","2018-10-03"
"145","text17120",1,0.491111387898829,"foxnews","2018-10-03"
"146","text17168",1,0.765238847612661,"foxnews","2018-10-03"
"147","text17170",1,0.351204647201416,"foxnews","2018-10-03"
"148","text17220",1,0.707427466662699,"foxnews","2018-10-03"
"149","text31492",1,0.518544811450237,"motherjones","2018-10-03"
"150","text31518",1,0.512047385909942,"motherjones","2018-10-03"
"151","text32578",1,0.436757515475629,"newsweek","2018-10-03"
"152","text32657",1,0.967013002454987,"newsweek","2018-10-03"
"153","text32762",1,0.5494923365602,"newsweek","2018-10-03"
"154","text37571",1,0.534866266942403,"newyorker","2018-10-03"
"155","text37575",1,0.829237528335281,"newyorker","2018-10-03"
"156","text37581",1,0.966793371527083,"newyorker","2018-10-03"
"157","text38558",1,0.453842209354411,"nytimes","2018-10-03"
"158","text38573",1,0.597943517969496,"nytimes","2018-10-03"
"159","text38607",1,0.473602149142257,"nytimes","2018-10-03"
"160","text38682",1,0.61619793722449,"nytimes","2018-10-03"
"161","text38694",1,0.859830429227127,"nytimes","2018-10-03"
"162","text38789",1,0.704029473653494,"nytimes","2018-10-03"
"163","text43899",1,0.566418914118391,"politico","2018-10-03"
"164","text48952",1,0.802448854284406,"townhall","2018-10-03"
"165","text49564",1,0.939876141217405,"vice","2018-10-03"
"166","text49569",1,0.548764137726526,"vice","2018-10-03"
"167","text50326",1,0.553532147105208,"washingtonpost","2018-10-03"
"168","text53445",1,0.962130136568647,"wallstreetjournal","2018-10-03"
"169","text5696",2,0.486135025443816,"breitbart","2018-10-03"
"170","text5798",2,0.495280319719154,"breitbart","2018-10-03"
"171","text10403",2,0.561708813074654,"cnbc","2018-10-03"
"172","text17140",2,0.602873036570042,"foxnews","2018-10-03"
"173","text24997",2,0.388935665537894,"huffingtonpost","2018-10-03"
"174","text28955",2,0.82712302558672,"infowars","2018-10-03"
"175","text32672",2,0.551354452977773,"newsweek","2018-10-03"
"176","text38500",2,0.467563806740349,"nytimes","2018-10-03"
"177","text50320",2,0.47066694163124,"washingtonpost","2018-10-03"
"178","text192",3,0.516081623780054,"abcnews","2018-10-03"
"179","text193",3,0.352731253164716,"abcnews","2018-10-03"
"180","text233",3,0.469911574519955,"abcnews","2018-10-03"
"181","text258",3,0.896729579769514,"abcnews","2018-10-03"
"182","text264",3,0.721387617778412,"abcnews","2018-10-03"
"183","text274",3,0.909051219879022,"abcnews","2018-10-03"
"184","text340",3,0.761557015114983,"abcnews","2018-10-03"
"185","text359",3,0.964962460315043,"abcnews","2018-10-03"
"186","text5750",3,0.867301031033631,"breitbart","2018-10-03"
"187","text10445",3,0.960986453025878,"cnbc","2018-10-03"
"188","text17137",3,0.362196195404865,"foxnews","2018-10-03"
"189","text17177",3,0.433365379178875,"foxnews","2018-10-03"
"190","text17189",3,0.750026720898612,"foxnews","2018-10-03"
