"","outlet","document","topic","gamma","date","ideology"
"95","abcnews","text1195","2",0.328229201934036,"2018-06-09",2.9
"96","abcnews","text3778","1",0.760723113256016,"2018-06-29",2.9
"97","abcnews","text3842","1",0.494680299647512,"2018-06-29",2.9
"98","abcnews","text181","3",0.604926069265063,"2018-06-02",2.9
"99","abcnews","text1005","3",0.952848393124588,"2018-06-09",2.9
"100","abcnews","text3866","1",0.377689670563677,"2018-06-29",2.9
"101","abcnews","text4039","1",0.494680299647512,"2018-06-29",2.9
"102","abcnews","text6469","6",0.563341132441639,"2018-07-28",2.9
"103","abcnews","text5259","3",0.504273874470887,"2018-07-13",2.9
"104","abcnews","text6512","1",0.667294104483601,"2018-07-29",2.9
"105","abcnews","text85","4",0.312139035683591,"2018-06-02",2.9
"106","abcnews","text244","4",0.481407518833915,"2018-06-02",2.9
"107","abcnews","text139","5",0.89388196917273,"2018-06-02",2.9
"108","abcnews","text245","5",0.891776613075953,"2018-06-02",2.9
"109","abcnews","text3012","1",0.631958741663881,"2018-06-23",2.9
"110","abcnews","text204","6",0.228100157404709,"2018-06-02",2.9
"111","abcnews","text274","6",0.680135945199092,"2018-06-02",2.9
"112","abcnews","text5489","1",0.718072938482712,"2018-07-16",2.9
"113","abcnews","text5520","1",0.848313844370736,"2018-07-16",2.9
"114","abcnews","text177","1",0.858614156243357,"2018-06-03",2.9
"115","abcnews","text184","1",0.936914908019036,"2018-06-03",2.9
"116","abcnews","text203","1",0.398673578459718,"2018-06-03",2.9
"117","abcnews","text239","1",0.279267772284336,"2018-06-03",2.9
"118","abcnews","text263","1",0.860442409501072,"2018-06-03",2.9
"119","abcnews","text264","1",0.923647453756038,"2018-06-03",2.9
"120","abcnews","text352","1",0.893349901414776,"2018-06-03",2.9
"121","abcnews","text357","1",0.890134926153757,"2018-06-03",2.9
"122","abcnews","text6238","1",0.763486850378255,"2018-07-26",2.9
"123","abcnews","text6241","1",0.647814348893015,"2018-07-26",2.9
"124","abcnews","text1322","3",0.67911223887885,"2018-06-10",2.9
"125","abcnews","text1461","3",0.705436017292823,"2018-06-10",2.9
"126","abcnews","text3459","2",0.749133817378052,"2018-06-26",2.9
"127","abcnews","text2920","5",0.513234200495067,"2018-06-23",2.9
"128","abcnews","text3148","5",0.802353472357066,"2018-06-23",2.9
"129","abcnews","text2946","6",0.484564372811531,"2018-06-23",2.9
"130","abcnews","text3016","1",0.68885009124434,"2018-06-24",2.9
"131","abcnews","text3017","1",0.869282638277635,"2018-06-24",2.9
"132","abcnews","text3092","1",0.518313577952356,"2018-06-24",2.9
"133","abcnews","text5994","6",0.378429742525182,"2018-07-24",2.9
"134","abcnews","text3286","3",0.405114743721022,"2018-06-26",2.9
"135","abcnews","text5085","3",0.670147870116625,"2018-07-12",2.9
"136","abcnews","text329","3",0.361155080866355,"2018-06-03",2.9
