"","document","topic","gamma","outlet","date"
"103","text33186",3,0.488024587470943,"newyorker","2018-06-02"
"104","text33188",3,0.792362905687387,"newyorker","2018-06-02"
"105","text85",4,0.312139035683591,"abcnews","2018-06-02"
"106","text244",4,0.481407518833915,"abcnews","2018-06-02"
"107","text139",5,0.89388196917273,"abcnews","2018-06-02"
"108","text245",5,0.891776613075953,"abcnews","2018-06-02"
"109","text30243",5,0.51113441093287,"motherjones","2018-06-02"
"110","text204",6,0.228100157404709,"abcnews","2018-06-02"
"111","text274",6,0.680135945199092,"abcnews","2018-06-02"
"112","text14562",6,0.372025944068675,"dailykos","2018-06-02"
"113","text23468",6,0.402435387654685,"foxnews","2018-06-02"
"114","text177",1,0.858614156243357,"abcnews","2018-06-03"
"115","text184",1,0.936914908019036,"abcnews","2018-06-03"
"116","text203",1,0.398673578459718,"abcnews","2018-06-03"
"117","text239",1,0.279267772284336,"abcnews","2018-06-03"
"118","text263",1,0.860442409501072,"abcnews","2018-06-03"
"119","text264",1,0.923647453756038,"abcnews","2018-06-03"
"120","text352",1,0.893349901414776,"abcnews","2018-06-03"
"121","text357",1,0.890134926153757,"abcnews","2018-06-03"
"122","text10050",1,0.936978040504443,"buzzfeed","2018-06-03"
"123","text22900",1,0.716868026254071,"foxnews","2018-06-03"
"124","text23397",1,0.828176049585474,"foxnews","2018-06-03"
"125","text23401",1,0.807089376792166,"foxnews","2018-06-03"
"126","text23405",1,0.908808644325355,"foxnews","2018-06-03"
"127","text23429",1,0.730055390033937,"foxnews","2018-06-03"
"128","text23501",1,0.721376738984612,"foxnews","2018-06-03"
"129","text23505",1,0.701296554194163,"foxnews","2018-06-03"
"130","text23531",1,0.477987763181551,"foxnews","2018-06-03"
"131","text23572",1,0.495421590276254,"foxnews","2018-06-03"
"132","text23612",1,0.53978094510916,"foxnews","2018-06-03"
"133","text41616",1,0.514763601767944,"washingtonpost","2018-06-03"
"134","text208",3,0.361155080866355,"abcnews","2018-06-03"
"135","text255",3,0.592979440679502,"abcnews","2018-06-03"
"136","text329",3,0.361155080866355,"abcnews","2018-06-03"
"137","text10058",3,0.758936263051301,"buzzfeed","2018-06-03"
"138","text10063",3,0.599573839766778,"buzzfeed","2018-06-03"
"139","text14564",3,0.359580388237061,"dailykos","2018-06-03"
"140","text23449",3,0.42686903566041,"foxnews","2018-06-03"
"141","text23613",3,0.405717016546942,"foxnews","2018-06-03"
"142","text33194",3,0.422109409255763,"newyorker","2018-06-03"
"143","text41579",3,0.858917837315003,"washingtonpost","2018-06-03"
"144","text41596",3,0.449228478619548,"washingtonpost","2018-06-03"
"145","text41634",3,0.380632608003202,"washingtonpost","2018-06-03"
"146","text23439",4,0.301870338461815,"foxnews","2018-06-03"
"147","text23636",4,0.326625808334631,"foxnews","2018-06-03"
"148","text241",5,0.943021791070867,"abcnews","2018-06-03"
"149","text14578",5,0.324097949419807,"dailykos","2018-06-03"
"150","text38498",5,0.539088629738195,"politico","2018-06-03"
"151","text191",6,0.562572253675091,"abcnews","2018-06-03"
"152","text269",6,0.598024198558321,"abcnews","2018-06-03"
"153","text22896",6,0.321915840315121,"foxnews","2018-06-03"
"154","text23398",6,0.432265127237322,"foxnews","2018-06-03"
"155","text23447",6,0.518980050386812,"foxnews","2018-06-03"
"156","text30254",6,0.232579797623992,"motherjones","2018-06-03"
"157","text335",1,0.93896155538,"abcnews","2018-06-04"
"158","text363",1,0.795357759430809,"abcnews","2018-06-04"
"159","text370",1,0.800108872333489,"abcnews","2018-06-04"
"160","text382",1,0.817336891671897,"abcnews","2018-06-04"
"161","text393",1,0.64342873956226,"abcnews","2018-06-04"
"162","text400",1,0.534447483330785,"abcnews","2018-06-04"
"163","text477",1,0.273115627743069,"abcnews","2018-06-04"
"164","text481",1,0.858906299066057,"abcnews","2018-06-04"
"165","text496",1,0.576525535631659,"abcnews","2018-06-04"
"166","text14612",1,0.29082946144928,"dailykos","2018-06-04"
"167","text22873",1,0.849349199930533,"foxnews","2018-06-04"
"168","text23076",1,0.659303714738869,"foxnews","2018-06-04"
"169","text23104",1,0.501401402793027,"foxnews","2018-06-04"
"170","text23105",1,0.454202263354904,"foxnews","2018-06-04"
"171","text23529",1,0.950274447807851,"foxnews","2018-06-04"
"172","text23530",1,0.910975360964971,"foxnews","2018-06-04"
"173","text23625",1,0.967711210770775,"foxnews","2018-06-04"
"174","text23655",1,0.912822665069196,"foxnews","2018-06-04"
"175","text378",2,0.542858763870436,"abcnews","2018-06-04"
"176","text472",2,0.303454883613886,"abcnews","2018-06-04"
"177","text23090",2,0.303454883613886,"foxnews","2018-06-04"
"178","text23629",2,0.375506208771302,"foxnews","2018-06-04"
"179","text28811",2,0.51503911094011,"infowars","2018-06-04"
"180","text41591",2,0.331372191266999,"washingtonpost","2018-06-04"
"181","text290",3,0.909416488030286,"abcnews","2018-06-04"
"182","text361",3,0.446742053522371,"abcnews","2018-06-04"
"183","text479",3,0.446742053522371,"abcnews","2018-06-04"
"184","text22882",3,0.717240954288148,"foxnews","2018-06-04"
"185","text23037",3,0.870556613353159,"foxnews","2018-06-04"
"186","text23040",3,0.451069713845494,"foxnews","2018-06-04"
"187","text23561",3,0.412254071496482,"foxnews","2018-06-04"
"188","text23598",3,0.513184733391452,"foxnews","2018-06-04"
"189","text23643",3,0.68577011919087,"foxnews","2018-06-04"
"190","text41603",3,0.886358278356522,"washingtonpost","2018-06-04"
"191","text41605",3,0.474584925951011,"washingtonpost","2018-06-04"
"192","text41621",3,0.886033566507096,"washingtonpost","2018-06-04"
"193","text41718",3,0.621580106830183,"washingtonpost","2018-06-04"
"194","text14642",4,0.549481362764415,"dailykos","2018-06-04"
"195","text28753",4,0.320473105238193,"infowars","2018-06-04"
"196","text41614",4,0.569901445411646,"washingtonpost","2018-06-04"
"197","text41637",4,0.618818474224676,"washingtonpost","2018-06-04"
"198","text349",5,0.521036891780208,"abcnews","2018-06-04"
"199","text14633",5,0.917971815410185,"dailykos","2018-06-04"
"200","text23119",5,0.650721502748287,"foxnews","2018-06-04"
"201","text23578",5,0.407827517213651,"foxnews","2018-06-04"
"202","text41629",5,0.498339063292724,"washingtonpost","2018-06-04"
"203","text326",6,0.509412065795596,"abcnews","2018-06-04"
"204","text372",6,0.449618107170033,"abcnews","2018-06-04"
"205","text376",6,0.418748133141635,"abcnews","2018-06-04"
"206","text488",6,0.359998836692175,"abcnews","2018-06-04"
"207","text22988",6,0.742007718160517,"foxnews","2018-06-04"
"208","text28800",6,0.351042850375402,"infowars","2018-06-04"
"209","text516",1,0.624614005710223,"abcnews","2018-06-05"
"210","text645",1,0.273115627743069,"abcnews","2018-06-05"
"211","text673",1,0.451849470489484,"abcnews","2018-06-05"
"212","text691",1,0.486774266004625,"abcnews","2018-06-05"
"213","text10130",1,0.746458941548265,"buzzfeed","2018-06-05"
"214","text14631",1,0.577885382047777,"dailykos","2018-06-05"
"215","text22925",1,0.720522558885651,"foxnews","2018-06-05"
"216","text22935",1,0.751486111009162,"foxnews","2018-06-05"
"217","text22943",1,0.820458518231291,"foxnews","2018-06-05"
"218","text23014",1,0.321967631626248,"foxnews","2018-06-05"
"219","text23023",1,0.923980695113585,"foxnews","2018-06-05"
"220","text23028",1,0.884146307893422,"foxnews","2018-06-05"
"221","text23109",1,0.634419024530712,"foxnews","2018-06-05"
"222","text23122",1,0.635240956237771,"foxnews","2018-06-05"
"223","text23986",1,0.679703247478141,"foxnews","2018-06-05"
"224","text24013",1,0.6429328811638,"foxnews","2018-06-05"
"225","text24029",1,0.75572226563807,"foxnews","2018-06-05"
"226","text24090",1,0.363470967937297,"foxnews","2018-06-05"
"227","text24109",1,0.863327832734198,"foxnews","2018-06-05"
"228","text24178",1,0.456479318744068,"foxnews","2018-06-05"
"229","text24184",1,0.716813789456201,"foxnews","2018-06-05"
"230","text24185",1,0.594453351775803,"foxnews","2018-06-05"
"231","text24199",1,0.376498512047136,"foxnews","2018-06-05"
"232","text452",2,0.318089147876562,"abcnews","2018-06-05"
"233","text603",2,0.497507923444071,"abcnews","2018-06-05"
"234","text654",2,0.388733058655293,"abcnews","2018-06-05"
"235","text7592",2,0.342591113687106,"bloomberg","2018-06-05"
"236","text40178",2,0.379149045903167,"thinkprogress","2018-06-05"
"237","text41659",2,0.275071289848331,"washingtonpost","2018-06-05"
"238","text41676",2,0.372483545109272,"washingtonpost","2018-06-05"
"239","text435",3,0.939514128822027,"abcnews","2018-06-05"
"240","text522",3,0.498704017567359,"abcnews","2018-06-05"
"241","text22962",3,0.646324494275929,"foxnews","2018-06-05"
"242","text26149",3,0.60897024407612,"huffingtonpost","2018-06-05"
"243","text28771",3,0.369288899753609,"infowars","2018-06-05"
"244","text28854",3,0.54881578210056,"infowars","2018-06-05"
"245","text33200",3,0.722447279866795,"newyorker","2018-06-05"
"246","text41677",3,0.871051510882308,"washingtonpost","2018-06-05"
"247","text28764",4,0.616152903278036,"infowars","2018-06-05"
"248","text28778",4,0.387091616993117,"infowars","2018-06-05"
"249","text41698",4,0.399733677928895,"washingtonpost","2018-06-05"
"250","text492",5,0.508373578196973,"abcnews","2018-06-05"
"251","text7626",5,0.911203927264576,"bloomberg","2018-06-05"
"252","text14618",5,0.872083961907418,"dailykos","2018-06-05"
"253","text14674",5,0.507399187121614,"dailykos","2018-06-05"
"254","text22948",5,0.739884563925852,"foxnews","2018-06-05"
"255","text22979",5,0.518663350571584,"foxnews","2018-06-05"
"256","text23974",5,0.269631250334067,"foxnews","2018-06-05"
"257","text23980",5,0.95947401933532,"foxnews","2018-06-05"
"258","text24053",5,0.586936465495044,"foxnews","2018-06-05"
"259","text24141",5,0.959098686977689,"foxnews","2018-06-05"
"260","text38513",5,0.368962039732394,"politico","2018-06-05"
"261","text41661",5,0.387714396243105,"washingtonpost","2018-06-05"
"262","text41760",5,0.434637406360386,"washingtonpost","2018-06-05"
"263","text41787",5,0.361305714945604,"washingtonpost","2018-06-05"
"264","text527",6,0.369998268504789,"abcnews","2018-06-05"
